Original_Sentence,Processed_Result
She gave me a good idea,"{
  ""role"": ""assistant"",
  ""content"": ""<<IDEAS_ARE_OBJECTS>>""
}"
This mini-controversy erupted when Republicans introduced a string of amendments in a final effort to obstruct passage of the reconciliation bill,"{
  ""role"": ""assistant"",
  ""content"": ""<<LEGISLATION IS WAR>>""
}"
With the official start of primary season candidates were off and running as they sought to quickly raise millions of dollars for ad buys,"{
  ""role"": ""assistant"",
  ""content"": ""<<POLITICS IS A RACE>>""
}"
The US handed over control of the prisoners to Afghan authorities The Democrats wrested control of four governerships from the Republicans in some cases the loss of possession is not voluntary and The government acquired control of the company's assets,"{
  ""role"": ""assistant"",
  ""content"": ""The provided sentence contains several instances where the concept of \""control\"" is central to the actions described. The conceptual metaphor that seems to be at play here is CONTROL IS POSSESSION. This metaphor conceptualizes control as if it were a physical object that can be owned, handed over, wrested away, lost, or acquired. This is evident in the phrases \""handed over control,\"" \""wrested control,\"" \""loss of possession,\"" and \""acquired control,\"" which all suggest that control is something that can be transferred or owned much like a physical object or property.\n\nTherefore, the conceptual metaphor for the provided sentence is:\n\n<<CONTROL IS POSSESSION>>""
}"
The money is all dried up,"{
  ""role"": ""assistant"",
  ""content"": ""<<MONEY_IS_A_LIQUID>>""
}"
Congress' refusal to compromise is moving the country toward economic ruin,"{
  ""role"": ""assistant"",
  ""content"": ""<<POLITICS IS A JOURNEY>>""
}"
He deviated from the straight and narrow,"{
  ""role"": ""assistant"",
  ""content"": ""<<MORALITY_IS_STRAIGHTNESS>>""
}"
My business is growing like a weed,"{
  ""role"": ""assistant"",
  ""content"": ""<<BUSINESSES_ARE_PLANTS>>""
}"
She squeezed her way to thinner thighs,"{
  ""role"": ""assistant"",
  ""content"": ""<<BODY IS A CONTAINER FOR SIZE>>""
}"
Our relationship is veering off-course,"{
  ""role"": ""assistant"",
  ""content"": ""<<ROMANTIC_RELATIONSHIP_IS_A_JOURNEY>>""
}"
Dirt threatens to sink ship of state headline,"{
  ""role"": ""assistant"",
  ""content"": ""<<POLITICS IS A SHIP>>""
}"
